year,age,sex,smoking,vaping
2021,0,female,0.0,0.0
2021,1,female,0.0,0.0
2021,2,female,0.0,0.0
2021,3,female,0.0,0.0
2021,4,female,0.0,0.0
2021,5,female,0.0,0.0
2021,6,female,0.0,0.0
2021,7,female,0.0,0.0
2021,8,female,0.0,0.0
2021,9,female,0.0,0.0
2021,10,female,0.0,0.0
2021,11,female,0.0,0.0
2021,12,female,0.0,0.0
2021,13,female,0.0,0.0
2021,14,female,0.0,0.0
2021,15,female,0.0169369304043317,0.0773874776403411
2021,16,female,0.0277314105965521,0.0999998876314412
2021,17,female,0.0450900293349293,0.1178664831799649
2021,18,female,0.0658924573220451,0.1450806249752812
2021,19,female,0.0953340026655825,0.1833425294174759
2021,20,female,0.1072135465509732,0.1974181201495888
2021,21,female,0.1203764249625672,0.2023478344315548
2021,22,female,0.123804381750301,0.1981316722633738
2021,23,female,0.1273158272786763,0.1847696336450459
2021,24,female,0.1240816299403525,0.1622617185765711
2021,25,female,0.1209182070018358,0.1371685705968515
2021,26,female,0.1202152158562121,0.1109675492490046
2021,27,female,0.1195157560890467,0.0968046418504505
2021,28,female,0.1185814030575314,0.0852852865852382
2021,29,female,0.11765337856563,0.0764094834533676
2021,30,female,0.1153647515836722,0.0701772324548389
2021,31,female,0.113114936381827,0.0803562512734518
2021,32,female,0.1115183409979099,0.0769904069268726
2021,33,female,0.1099414876492114,0.0750577659062681
2021,34,female,0.1076648648008943,0.0745583282116384
2021,35,female,0.1054298010597466,0.0753691974194784
2021,36,female,0.1019030095485235,0.0763967311724131
2021,37,female,0.0984812069357206,0.0764336550835469
2021,38,female,0.0985577773187239,0.0759521001220225
2021,39,female,0.0986344007225556,0.07495206628784
2021,40,female,0.0987110771737987,0.0734335535809993
2021,41,female,0.1011271908889634,0.0680727632865686
2021,42,female,0.1035956454514204,0.06610169700407
2021,43,female,0.1061172402389607,0.0639043539337424
2021,44,female,0.1086927702360392,0.0614807340755858
2021,45,female,0.1113230250371595,0.0581406334891769
2021,46,female,0.1118888196497246,0.0530101501912346
2021,47,female,0.1124571259950636,0.0502600313353365
2021,48,female,0.113027951521102,0.0480460751536225
2021,49,female,0.1136013036595434,0.0463682816460924
2021,50,female,0.1141771898253859,0.0452266508127464
2021,51,female,0.1116104870259551,0.0474413811005141
2021,52,female,0.1090943776610604,0.0468762165479441
2021,53,female,0.1066281825733275,0.0465992851357621
2021,54,female,0.1042112171470782,0.0466105868639681
2021,55,female,0.1018427921337234,0.0475060822179723
2021,56,female,0.0986691905575981,0.0491454457814661
2021,57,female,0.0955839593831334,0.0494429486861894
2021,58,female,0.0925852890618263,0.049104126680828
2021,59,female,0.0896713660072927,0.048128979765382
2021,60,female,0.0868403757446815,0.0465175079398512
2021,61,female,0.0818676227323763,0.0402478124585597
2021,62,female,0.0771555653611301,0.0380708378450663
2021,63,female,0.0726932467790188,0.0356111118375916
2021,64,female,0.0684698598601931,0.0328686344361357
2021,65,female,0.0644747858562163,0.0293054023271814
2021,66,female,0.0600189383384265,0.0239626141156904
2021,67,female,0.055852649297283,0.0209090101689965
2021,68,female,0.0519595817432391,0.0182620101110759
2021,69,female,0.0483239818635498,0.0160216139419288
2021,70,female,0.0449307080727223,0.0141878216615551
2021,71,female,0.0421052337829996,0.0146791307397423
2021,72,female,0.0394501005990593,0.0133212280004692
2021,73,female,0.0369559391116031,0.0122012700317464
2021,74,female,0.0346137841088873,0.0113192568335738
2021,75,female,0.0324150714730903,0.0103964988254535
2021,76,female,0.0299699597973204,0.0089154641270969
2021,77,female,0.0277040052757142,0.0080362668972795
2021,78,female,0.0256048517332473,0.0072435970560651
2021,79,female,0.0236608820506969,0.0065374546034537
2021,80,female,0.0218611910160919,0.0059178395394453
2021,81,female,0.0207011999481319,0.0057408352048844
2021,82,female,0.0196015264714815,0.0052316668581533
2021,83,female,0.0185591619469122,0.0047777218700608
